Day;Rate;LMR
1;0,0014;-6,571283042
2;0,004;-5,521460918
3;0,0051;-5,278514739
4;0,0064;-5,051457289
5;0,0075;-4,892852258
6;0,0098;-4,625372893
7;0,0123;-4,398156017
8;0,0164;-4,110473944
9;0,0218;-3,825845309
10;0,0298;-3,513246885
11;0,0379;-3,272804167
12;0,0452;-3,096658192
13;0,0589;-2,831914188
14;0,0634;-2,758291418
15;0,0722;-2,628315233
16;0,0757;-2,580977119
17;0,0793;-2,53451715
18;0,0826;-2,493745598
19;0,085;-2,465104022
20;0,0923;-2,382711137
21;0,0968;-2,335108285
22;0,1002;-2,30058709
23;0,1059;-2,245260026
24;0,1102;-2,205458382
25;0,1158;-2,155890714
26;0,1299;-2,040990355
27;0,1336;-2,012905018
28;0,1361;-1,994365369
29;0,128;-2,055725015
30;0,1213;-2,109488463
31;0,1214;-2,1086644
32;0,1168;-2,147292209
33;0,1241;-2,086667587
34;0,125;-2,079441542
35;0,1266;-2,066722769
36;0,1224;-2,100460909
37;0,1338;-2,011409131
38;0,1154;-2,159350925
39;0,1249;-2,080241862
40;0,1212;-2,110313205
41;0,1279;-2,05650657
42;0,1301;-2,039451893
43;0,1366;-1,990698332
44;0,1439;-1,938636665
45;0,136;-1,995100393
46;0,1306;-2,035616062
47;0,1361;-1,994365369
48;0,1452;-1,929643177
49;0,1338;-2,011409131
50;0,1515;-1,887169654
51;0,136;-1,995100393
52;0,1456;-1,926892143
53;0,1501;-1,89645354
54;0,1326;-2,020418201
55;0,1603;-1,830708219
56;0,1605;-1,829461336
57;0,1581;-1,844527535
58;0,1672;-1,788564578
59;0,1601;-1,831956659
60;0,1316;-2,02798826
61;0,1309;-2,033321606
62;0,125;-2,079441542
63;0,1341;-2,009169489
64;0,1413;-1,956869989
65;0,1685;-1,780819529
66;0,122;-2,103734234
67;0,1363;-1,99289694
68;0,1047;-2,256656161
69;0,1257;-2,073857163
70;0,0798;-2,528231775
71;0,1193;-2,12611395
72;0,1207;-2,114447151
73;0,1092;-2,214574216
74;0,1038;-2,265289308
75;0,0912;-2,394700382
76;0,1274;-2,060423536
77;0,0664;-2,712058222
78;0,0806;-2,518256629
79;0,067;-2,70306266
80;0,0663;-2,713565382
81;0,0769;-2,565249402
82;0,0897;-2,41128451
83;0,0845;-2,471003745
84;0,0615;-2,788718104
85;0,0574;-2,857710976
86;0,0522;-2,952672784
87;0,1009;-2,293625352
88;0,0714;-2,63945741
90;0,0549;-2,90224193
91;0,0116;-4,456750181
92;0,0706;-2,650725134
93;0,0759;-2,578338595
94;0,0274;-3,597212266
95;0,0563;-2,877060744
96;0,0149;-4,206394066
97;0,0152;-4,186459851
98;0,0462;-3,074775481
102;0,0645;-2,741090055
103;0,0172;-4,062845895
104;0,0351;-3,349554149
105;0,0182;-4,006333685
106;0,0185;-3,989984547
108;0,0189;-3,968593357
109;0,0192;-3,952845
110;0,0392;-3,239078532
111;0,0408;-3,199073198
112;0,0426;-3,155901026
113;0,0444;-3,11451581
114;0,0233;-3,759301918
115;0,0476;-3,044922518
119;0,025;-3,688879454
120;0,0513;-2,970064527
121;0,027;-3,611918413
122;0,0833;-2,48530673
124;0,0606;-2,803460386
125;0,0968;-2,335108285
126;0,1071;-2,233992302
127;0,04;-3,218875825
128;0,0417;-3,17725415
129;0,087;-2,44184716
132;0,0476;-3,044922518
136;0,05;-2,995732274
141;0,1053;-2,25094186
142;0,0588;-2,833613424
143;0,125;-2,079441542
145;0,1429;-1,945610194
146;0,0833;-2,48530673
147;0,0909;-2,397995278
148;0,1;-2,302585093
150;0,1111;-2,197324582
153;0,125;-2,079441542
154;0,1429;-1,945610194
155;0,1667;-1,791559489
158;0,2;-1,609437912
164;0,5;-0,693147181
171;1;0
